Subject-id,Activity Label,Timestamp,X-accel,Y-accel,Z-accel
1638,K,1137561653797239,5.2202578,2.6093805,-7.8933835
1628,K,1137372798691410,4.5950317,-5.087387,6.0251617
1607,K,287298486980028,-6.693589,-5.242703,4.781221
1612,K,4580657368906,7.888962,3.9233398,-4.1409607
1650,K,358282708069000,-3.9469924,-4.414021,-7.4652762
1635,K,677926340413574,4.2231445,-1.2003174,-9.238846
1603,K,10964180768836,5.2002063,2.3349452,7.916428
1629,K,605170765690768,-3.6936798,1.7840576,-9.57869
1628,K,1137279643776060,4.48407,-5.2730713,5.9415894
1639,K,182383656929189,-8.392126,1.0435727,4.5893855
1626,K,597318015721987,4.5342712,-5.1263275,-7.3762054
1616,K,194198653940427,-0.20046997,-0.0038909912,9.146042
1627,K,441207515022132,3.731018,-7.728943,-4.818741
1641,K,1219089080111000,8.581355,-1.8729054,-4.9289503
1605,K,181145981854536,7.161656,1.0366893,6.547543
1627,K,441198129032039,3.834732,-8.070847,-4.728958
1642,K,1470595636272000,-2.186653,5.745652,8.006551
1621,K,168835893598382,-9.020754,-1.6250644,-3.2914288
1623,K,3827384468980,2.963791,-2.5520782,-9.450623
1641,K,1219095163895000,8.4376545,-1.7435743,-4.967271
1646,K,1465955705036000,-7.9826,-0.35925296,5.223538
1639,K,182368966918729,-7.9789762,-6.2753525,0.66753334
1629,K,605153343192468,-3.9356537,1.555542,-9.531311
1630,K,1558466869823733,8.824722,1.713913,2.5708008
1647,K,1219849456505818,-4.072537,-0.7697359,8.807071
1604,K,16522749124278,4.5907745,4.845154,6.322586
1638,K,1137714888255669,-6.260239,-7.650073,-1.0316017
1646,K,1466006892495000,-8.260423,0.86939216,5.0989966
1616,K,194171482948485,-0.18174744,-0.0037841797,9.1028595
1642,K,1470594931058000,-2.3614893,5.621111,7.9969707
1623,K,3714490789620,3.097229,-2.764267,-9.285614
1625,K,706595612330701,-5.715164,-6.292755,4.2012024
